instance,algorithm,avg_objective,std_objective,best_objective,best_distance,vehicles_used,feasible,vehicle_limit,capacity
R104,MEAF,2038.425985841515,40.35256756428912,1956.522718751745,1956.522718751745,21,True,25,200.0
R105,GA,1834.2522921828345,54.04511255062678,1738.5864674257277,1738.5864674257277,23,True,25,200.0
R105,PSO,7272.290515453882,127.23192355286893,6921.589255470686,6921.589255470686,41,False,25,200.0
R105,ACS,7513.558065760367,113.65678710480317,7050.181033798304,7050.181033798304,42,False,25,200.0
R105,MEAF,4205.978225271627,199.12644335169122,3709.1581938835097,3709.1581938835097,29,False,25,200.0
R106,GA,1689.0738109383879,49.008815618417465,1599.2018333205879,1599.2018333205879,18,True,25,200.0
R106,PSO,5101.479148955659,125.54927763656009,4971.6732614561915,4971.6732614561915,34,False,25,200.0
R106,ACS,5247.800547289035,134.55057411800803,4733.979321419887,4733.979321419887,34,False,25,200.0
R106,MEAF,2844.626375432907,126.44543059933577,2680.1845310648073,2680.1845310648073,26,False,25,200.0
R107,GA,1520.3130085295893,45.166243321441094,1427.4455358808364,1427.4455358808364,17,True,25,200.0
R107,PSO,3209.832632195386,107.01062303081295,2927.6650330749303,2927.6650330749303,27,False,25,200.0
R107,ACS,3390.5065018237024,198.22414017189877,2766.7117135055823,2766.7117135055823,27,False,25,200.0
R107,MEAF,2110.0682744900287,35.08807617037471,2047.752531003054,2047.752531003054,23,True,25,200.0
R108,GA,1393.3294624235753,42.327331446962006,1289.1086688795056,1289.1086688795056,14,True,25,200.0
R108,PSO,2254.8015965621294,20.44614086744026,2216.961722967835,2216.961722967835,20,True,25,200.0
R108,ACS,2103.001185639998,50.68313268701126,1992.0036944155204,1992.0036944155204,20,True,25,200.0
R108,MEAF,1924.7704910873117,19.697980852401265,1884.1695305649978,1884.1695305649978,19,True,25,200.0
R109,GA,1640.4062896754926,61.25627924987095,1505.0850743923072,1505.0850743923072,20,True,25,200.0
R109,PSO,3478.5964008123738,121.73487383824951,3263.836406638715,3263.836406638715,28,False,25,200.0
R109,ACS,3588.5043457034176,4.547473508864641e-13,3588.504345703417,3588.504345703417,29,False,25,200.0
R109,MEAF,2299.2456425007886,31.272168142792136,2235.991781305365,2235.991781305365,25,True,25,200.0
R110,GA,1543.5956537897441,64.28744021901706,1442.671229118043,1442.671229118043,17,True,25,200.0
R110,PSO,2794.4323070316887,89.18370732175318,2482.64269058862,2482.64269058862,25,True,25,200.0
R110,ACS,2817.5558610133194,286.02531620710965,2127.3525947997236,2127.3525947997236,25,True,25,200.0
R110,MEAF,2160.562477577193,18.555215704869333,2111.3836822142634,2111.3836822142634,24,True,25,200.0
R111,GA,1554.4351278007687,51.941532711206996,1470.4018059243144,1470.4018059243144,18,True,25,200.0
R111,PSO,4072.5529347059733,109.4664648650934,3814.443493084113,3814.443493084113,30,False,25,200.0
R111,ACS,2884.42089382741,231.98837758239125,2227.971842719009,2227.971842719009,24,True,25,200.0
R111,MEAF,2230.779913566975,27.96455324052375,2169.7854113301314,2169.7854113301314,25,True,25,200.0
R112,GA,1430.5283359881514,28.935002198891418,1360.4311903485548,1360.4311903485548,15,True,25,200.0
R112,PSO,2211.6393231947372,24.812336064078586,2169.3005544775738,2169.3005544775738,20,True,25,200.0
R112,ACS,1991.0939366272862,53.183817856289586,1897.6675540850858,1897.6675540850858,18,True,25,200.0
R112,MEAF,1875.5524411371462,34.649433292411814,1813.750159851678,1813.750159851678,19,True,25,200.0
R201,GA,1530.8643994968345,50.794884706054376,1440.3680357147307,1440.3680357147307,12,True,25,1000.0
R201,PSO,2408.891826627555,26.672794274757866,2361.861434905159,2361.861434905159,13,True,25,1000.0
R201,ACS,2447.8357064804927,9.094947017729282e-13,2447.835706480492,2447.835706480492,11,True,25,1000.0
R201,MEAF,2076.2235763149474,17.67493334646959,2041.4685455089937,2041.4685455089937,11,True,25,1000.0
R202,GA,1426.1682884960517,47.00272871895221,1324.8181770261997,1324.8181770261997,11,True,25,1000.0
R202,PSO,2276.2770109062444,14.788297444008197,2243.883296822228,2243.883296822228,11,True,25,1000.0
R202,ACS,2293.4443800993386,4.547473508864641e-13,2293.444380099338,2293.444380099338,11,True,25,1000.0
R202,MEAF,1964.6742526732542,16.947070935090398,1938.5274392841716,1938.5274392841716,9,True,25,1000.0
R203,GA,1302.9231116149958,41.59799270184544,1232.4698277067077,1232.4698277067077,9,True,25,1000.0
R203,PSO,2307.2340039123687,17.989790502095918,2259.620928091139,2259.620928091139,9,True,25,1000.0
